underground,street,floor,floors_count,total_meters,rooms_count,url,lat,lon,metro_distance_m,average_price,meters_per_room,is_large_apartment,price_log
Медведково,Полярная ,25,33,41.0,1,https://www.cian.ru/rent/flat/317612736/,55.8829477,37.638921,1478.2945769031437,61290.0,41.0,0,76400.00000000004
unknown,Южнобутовская ,9,9,55.0,2,https://www.cian.ru/rent/flat/317615031/,55.5385266,37.5327217,384.101845679614,53788.0,27.5,0,60000.00000000002
Аминьевская, Лобачевского,3,23,50.0,1,https://www.cian.ru/rent/flat/317594689/,55.693573,37.4692684,514.4382589961288,196953.0,50.0,0,100000.00000000001
Улица Академика Янгеля,3-й Дорожный проезд,21,22,70.0,3,https://www.cian.ru/rent/flat/317615997/,55.6028929,37.6104919,1093.8945847372495,61479.0,23.333333333333332,0,69999.99999999994
Косино,Большая Косинская ,6,12,50.0,2,https://www.cian.ru/rent/flat/317591315/,55.7111781,37.8544746,902.409416119948,56020.0,25.0,0,60000.00000000002
Тульская,3-й Павелецкий проезд,5,5,32.0,1,https://www.cian.ru/rent/flat/317624065/,55.7107376,37.6405504,1132.4529262450822,122875.0,32.0,0,44999.999999999985
Беляево,Миклухо-Маклая ,9,16,54.0,2,https://www.cian.ru/rent/flat/317603198/,55.6449597,37.5182953,524.590739533013,73135.0,27.0,0,65000.00000000002
Митино, Центральная,5,5,54.0,2,https://www.cian.ru/rent/flat/317575725/,55.7715873,37.568052,847.0519000943599,62375.0,27.0,0,54999.99999999995
Профсоюзная,Нахимовский проспект,12,23,48.0,2,https://www.cian.ru/rent/flat/317586573/,55.6705467,37.5813969,1439.578229958385,95015.0,24.0,0,79999.99999999994
Юго-Западная, Академика Анохина,3,17,39.0,1,https://www.cian.ru/rent/flat/317600746/,55.6632683,37.4759959,461.1566169699354,78074.0,39.0,0,67000.00000000001
Бульвар Рокоссовского,Открытое шоссе,26,33,58.0,3,https://www.cian.ru/rent/flat/317597700/,55.8198957,37.7491122,1099.312550858731,65639.0,19.333333333333332,0,115000.00000000009
Речной вокзал,Фестивальная ,9,9,44.0,2,https://www.cian.ru/rent/flat/317611002/,55.8555315,37.4752598,87.81953975926895,84602.0,22.0,0,95000.00000000006
Водный стадион,Кронштадтский бульвар,8,21,72.0,3,https://www.cian.ru/rent/flat/317600778/,55.8426956,37.4879388,331.60274183378186,75782.0,24.0,0,149999.99999999994
Улица Академика Королёва,Хованская ,14,17,55.0,2,https://www.cian.ru/rent/flat/317603948/,55.8263457,37.6223059,582.2872374389708,85965.0,27.5,0,100000.00000000001
Бутырская, Добролюбова,13,24,38.0,2,https://www.cian.ru/rent/flat/317595822/,55.811082,37.5954938,520.3889021933303,88896.0,19.0,0,85000.0
Коптево,Новопетровская ,7,14,64.0,3,https://www.cian.ru/rent/flat/317610069/,55.8275739,37.5210705,1350.9684086961015,67042.0,21.333333333333332,0,120000.00000000006
Щербинка,Варшавское шоссе,15,17,51.0,2,https://www.cian.ru/rent/flat/317598406/,55.5182518,37.5733325,3527.3295889176093,53788.0,25.5,0,79999.99999999994
Аминьевская,Очаковское шоссе,20,33,60.0,3,https://www.cian.ru/rent/flat/317591330/,55.6944058,37.4627488,324.20360538032537,97264.0,20.0,0,109999.99999999991
Люблино,Цимлянская ,2,17,55.0,2,https://www.cian.ru/rent/flat/317616148/,55.6698956,37.7733424,979.567780697406,62600.0,27.5,0,79999.99999999994
Красный Строитель,Дорожная ,11,17,38.0,1,https://www.cian.ru/rent/flat/317575560/,55.5902874,37.6129106,941.206918121293,61479.0,38.0,0,50000.00000000001
Домодедовская,Каширское шоссе,6,16,55.0,2,https://www.cian.ru/rent/flat/317618801/,55.5959629,37.7227283,1672.2512175005563,58610.0,27.5,0,60000.00000000002
Аминьевская,Очаковское шоссе,8,21,40.0,1,https://www.cian.ru/rent/flat/317615302/,55.6870933,37.4422349,1781.645869480204,97264.0,40.0,0,85000.0
Академическая,Большая Черемушкинская ,12,17,38.0,1,https://www.cian.ru/rent/flat/317606921/,55.682472,37.5841737,898.0994893873204,106416.0,38.0,0,60000.00000000002
Смоленская,Малый Новопесковский переулок,4,14,135.0,2,https://www.cian.ru/rent/flat/317582795/,55.7497379,37.5775714,394.8782231610764,415029.0,67.5,1,359999.99999999994
Новаторская, Новаторов,10,25,102.1,3,https://www.cian.ru/rent/flat/317605235/,55.6646334,37.521165,609.9384421593716,119833.0,34.03333333333333,1,139999.9999999999
Свиблово,Ивовая ,5,5,30.4,1,https://www.cian.ru/rent/flat/317602224/,55.8588328,37.6435532,701.2115817582519,77731.0,30.4,0,60000.00000000002
Кусково,Перовская ,12,19,59.6,2,https://www.cian.ru/rent/flat/317623718/,55.743371,37.8043452,1205.0735680857758,58190.0,29.8,0,69999.99999999994
Пионерская,Кастанаевская ,16,22,55.7,2,https://www.cian.ru/rent/flat/317582798/,55.7331415,37.4684732,329.7406163276187,93407.0,27.85,0,120000.00000000006
Черкизовская,Тагильская ,31,33,36.0,2,https://www.cian.ru/rent/flat/317616994/,55.8162947,37.7582995,1521.187457632824,65639.0,18.0,0,65000.00000000002
Юго-Западная, Академика Анохина,9,16,53.0,2,https://www.cian.ru/rent/flat/317576349/,55.6592161,37.474758,726.1198350715998,78074.0,26.5,0,89999.99999999997
Бутырская, Руставели,20,33,38.0,1,https://www.cian.ru/rent/flat/317607819/,55.8121079,37.597858,337.0665024583485,88896.0,38.0,0,85000.0
Давыдково, Ватутина,21,22,55.2,2,https://www.cian.ru/rent/flat/317617410/,55.7210642,37.456442,707.5862644928591,93407.0,27.6,0,105000.00000000004
Соколиная гора,Вольная ,2,25,37.9,1,https://www.cian.ru/rent/flat/317582612/,55.774805,37.7380867,580.8986147478954,68460.0,37.9,0,54999.99999999995
Молодёжная,Ярцевская ,5,25,50.0,2,https://www.cian.ru/rent/flat/317607326/,55.7391301,37.4141765,248.43700886978596,92109.0,25.0,0,89999.99999999997
Трикотажная,Волоколамское шоссе,10,51,27.0,1,https://www.cian.ru/rent/flat/317617851/,55.8298755,37.4028366,1221.7431585287325,124769.0,27.0,0,79999.99999999994
Новаторская,Ленинский проспект,29,33,80.0,3,https://www.cian.ru/rent/flat/317596742/,55.6729453,37.5244522,358.0510940494562,119833.0,26.666666666666668,0,249999.99999999983
Савёловская, Бутырский Вал,3,9,37.0,2,https://www.cian.ru/rent/flat/317582663/,55.7869065,37.5881742,645.3604167398706,243014.0,18.5,0,96999.99999999997
Сокольники, Жебрунова,5,12,40.0,2,https://www.cian.ru/rent/flat/317576789/,55.7842926,37.6851865,597.6002002963808,86127.0,20.0,0,74999.99999999996
Бескудниково,проезд Черского,2,9,31.6,1,https://www.cian.ru/rent/flat/317577169/,55.8760934,37.5830828,1533.9975036072017,56500.0,31.6,0,34999.99999999997
Зорге,3-я Хорошевская ,5,22,45.0,2,https://www.cian.ru/rent/flat/317616600/,55.7845489,37.495187,687.3077077841274,102401.0,22.5,0,120000.00000000006
Аминьевская, Лобачевского,3,23,50.0,1,https://www.cian.ru/rent/flat/317601075/,55.693573,37.4692684,514.4382589961288,196953.0,50.0,0,100000.00000000001
Верхние котлы,Новоданиловская набережная,18,24,38.0,2,https://www.cian.ru/rent/flat/317598033/,55.6975619,37.6260451,954.3101786225736,111681.0,19.0,0,120000.00000000006
unknown,Нижегородская ,5,5,45.0,2,https://www.cian.ru/rent/flat/317617934/,55.7337823,37.7065475,1253.3115960892387,69856.0,22.5,0,54999.99999999995
Ховрино, Дыбенко,10,17,38.0,1,https://www.cian.ru/rent/flat/317582524/,55.8771543,37.485915,317.79663390319547,69003.0,38.0,0,44999.999999999985
Москва-Сити,1-й Красногвардейский проезд,28,78,71.8,2,https://www.cian.ru/rent/flat/317578480/,55.7519171,37.5342124,403.19557792387104,278657.0,35.9,0,269999.99999999977
