district,underground,street,house_number,floor,floors_count,total_meters,living_meters,kitchen_meters,rooms_count,year_construction,house_material_type,heating_type,price_per_month,commissions,author,author_type,phone,url,full_address,lat,lon,nearest_metro,metro_distance_m
Текстильщики,Текстильщики,Люблинская ,11С2,4,5,30.0,,,1,,,,59700,0,Циан х ПИК-Аренда,real_estate_agent,,https://www.cian.ru/rent/flat/317624210/,"Москва, Люблинская , 11С2",55.7108719,37.7324489,Текстильщики                                                                            ,236.76963684447725
Басманный,Бауманская,Переведеновский переулок,3,2,12,38.8,,,1,,,,90000,0,Юлия Лиховидова,realtor,,https://www.cian.ru/rent/flat/317624208/,"Москва, Переведеновский переулок, 3",55.779522,37.6906136,Электрозаводская,856.1745223814556
,Коммунарка, Липовый Парк,10к3,14,17,43.6,,,1,,,,60000,0,ID 264850,unknown,,https://www.cian.ru/rent/flat/317624175/,"Москва,  Липовый Парк, 10к3",55.5690176,37.4859913,Ольховая,1678.1735783018084
Савеловский,Петровский Парк, Мишина,16,8,9,21.0,,,1,,,,45000,0,ID 1877524,homeowner,,https://www.cian.ru/rent/flat/317624171/,"Москва,  Мишина, 16",55.7949457,37.5661779,Петровский парк,668.5036491939392
,Ольховая, Городская,20,8,19,40.0,,,1,,,,40000,0,Диана Товт,realtor,,https://www.cian.ru/rent/flat/317624168/,"Москва,  Городская, 20",55.4927164,37.3159781,Новомосковская,11870.24455892336
Даниловский,Тульская,3-й Павелецкий проезд,9,5,5,32.0,,,1,,,,45000,0,Диана Товт,realtor,,https://www.cian.ru/rent/flat/317624065/,"Москва, 3-й Павелецкий проезд, 9",55.7107376,37.6405504,Тульская,1132.4529262450822
Гольяново,Щёлковская,Алтайская ,33/7,4,14,39.1,,,1,,,,42000,0,Владислав Леонтьев,realtor,,https://www.cian.ru/rent/flat/317623947/,"Москва, Алтайская , 33/7",55.8211575,37.8335273,Щёлковская,2551.0711689676364
Западное Дегунино,Грачёвская,Базовская ,15к1,4,18,39.0,,,1,,,,55000,0,Диана Товт,realtor,,https://www.cian.ru/rent/flat/317623780/,"Москва, Базовская , 15к1",55.8770413,37.5051933,Ховрино,1457.2686811691822
Чертаново Южное,Улица Академика Янгеля, Академика Янгеля,2,22,23,42.9,,,1,,,,80000,0,Екатерина Василькина,realtor,,https://www.cian.ru/rent/flat/317623758/,"Москва,  Академика Янгеля, 2",55.5969222,37.5999033,Улица Академика Янгеля,227.30766808149417
Очаково-Матвеевское,Озёрная, Малая Очаковская,4Ак2,30,33,36.0,,,1,,,,75000,0,Диана Товт,realtor,,https://www.cian.ru/rent/flat/317623739/,"Москва,  Малая Очаковская, 4Ак2",55.6656555,37.4382324,Озёрная,899.2212771879232
Богородское,Бульвар Рокоссовского,Тюменский проезд,3к1,6,31,34.0,,,1,,,,65000,0,Наиль Губайдуллин,realtor,,https://www.cian.ru/rent/flat/317623733/,"Москва, Тюменский проезд, 3к1",55.8124605,37.7380506,Бульвар Рокоссовского,347.05606425869246
Молжаниновский,Новоподрезково,Ленинградское шоссе,229Ак2,6,13,46.7,,,1,,,,62900,0,Циан х ПИК-Аренда,real_estate_agent,,https://www.cian.ru/rent/flat/317623482/,"Москва, Ленинградское шоссе, 229Ак2",,,,
Южное Тушино,Сходненская,Туристская ,4К1,1,9,33.0,,,1,,,,40000,0,ID 124838769,realtor,,https://www.cian.ru/rent/flat/317623454/,"Москва, Туристская , 4К1",55.8460123,37.4246985,Сходненская                                                                             ,1058.709100654274
Солнцево,Солнцево,Производственная ,8к1,2,16,38.0,,,1,,,,65000,0,ID 87269842,homeowner,,https://www.cian.ru/rent/flat/317623438/,"Москва, Производственная , 8к1",55.6457594,37.3855311,Солнцево,519.2768628276843
Нагатинский затон,Кленовый бульвар, Речников,18/20,11,19,45.0,,,1,,,,48000,0,EMPIRE HOME,real_estate_agent,,https://www.cian.ru/rent/flat/317623315/,"Москва,  Речников, 18/20",55.6827224,37.6917738,Нагатинский затон,855.1646026887513
Южное Бутово,Бунинская аллея, Академика Семенова,11,3,9,40.0,,,1,,,,45000,0,ID 131133341,homeowner,,https://www.cian.ru/rent/flat/317623284/,"Москва,  Академика Семенова, 11",55.537329,37.4803175,Потапово,1881.9270347936733
Сокольники,Сокольники,Русаковская ,29,3,12,32.2,,,1,,,,65000,0,Диана Товт,realtor,,https://www.cian.ru/rent/flat/317622914/,"Москва, Русаковская , 29",55.7877835,37.6772541,Сокольники,227.95624466738644
Раменки,Ломоносовский проспект,Мичуринский проспект,7,12,17,55.0,,,1,,,,125000,0,ID 1042054,realtor,,https://www.cian.ru/rent/flat/317622903/,"Москва, Мичуринский проспект, 7",55.7018303,37.5111146,Ломоносовский проспект,630.9619882452483
Северное Тушино,Планерная,Планерная ,16К5,4,9,33.0,,,1,,,,50000,0,ID 130650854,realtor,,https://www.cian.ru/rent/flat/317622900/,"Москва, Планерная , 16К5",55.8648152,37.4389741,Планерная                                                                               ,485.7049072899231
Марфино,Окружная,Гостиничная ,12К6,1,5,20.0,,,1,,,,54000,0,Диана Товт,realtor,,https://www.cian.ru/rent/flat/317622883/,"Москва, Гостиничная , 12К6",55.8457599,37.5825732,Владыкино,489.9361967253683
Солнцево,Новопеределкино,Производственная ,17,7,18,35.0,,,1,,,,80000,0,ПАРТНЕР,real_estate_agent,,https://www.cian.ru/rent/flat/317622828/,"Москва, Производственная , 17",55.6434402,37.3820192,Солнцево,859.2291078769975
Филевский парк,Фили,Тучковская ,11,5,5,27.5,,,1,,,,55000,0,Алена Шумакова,realtor,,https://www.cian.ru/rent/flat/317622629/,"Москва, Тучковская , 11",55.7468447,37.5082004,Фили,437.25324828577914
Соколиная гора,Соколиная гора, 5-я Соколиной Горы,21А,5,18,42.0,,,1,,,,55000,0,Дмитрий Петров,realtor,,https://www.cian.ru/rent/flat/317622445/,"Москва,  5-я Соколиной Горы, 21А",55.7657939,37.737145,Соколиная Гора,799.3024967513134
Северное Медведково,Медведково,Широкая ,1К1,2,9,33.0,,,1,,,,75000,0,Виктория Геннадьевна Иванова,realtor,,https://www.cian.ru/rent/flat/317622362/,"Москва, Широкая , 1К1",55.8883814,37.6508053,Медведково                                                                              ,669.7333869116648
Богородское,Бульвар Рокоссовского,Тюменский проезд,3к4,10,23,21.0,,,1,,,,55000,0,Capital Mars,real_estate_agent,,https://www.cian.ru/rent/flat/317622147/,"Москва, Тюменский проезд, 3к4",55.8117355,37.7423914,Бульвар Рокоссовского,610.4680642083048
Ховрино,Речной вокзал, Ляпидевского,10,4,17,45.0,,,1,,,,50000,0,Capital Mars,real_estate_agent,,https://www.cian.ru/rent/flat/317622144/,"Москва,  Ляпидевского, 10",55.8565649,37.4974528,Речной вокзал,1350.0059587578
,Потапово,проспект Куприна,30к9,10,16,31.1,,,1,,,,47000,0,Этажи Москва,real_estate_agent,,https://www.cian.ru/rent/flat/317621898/,"Москва, проспект Куприна, 30к9",55.543521,37.4602928,Новомосковская,1357.998277618958
Покровское-Стрешнево,Тушинская,Волоколамское шоссе,96/2,2,5,32.0,,,1,,,,45000,0,Квартирный вопрос,real_estate_agent,,https://www.cian.ru/rent/flat/317621843/,"Москва, Волоколамское шоссе, 96/2",55.8253704,37.4326835,Тушинская                                                                               ,297.4469400431702
Строгино,Строгино,Таллинская ,30,9,22,50.0,,,1,,,,45000,0,Комфорт,real_estate_agent,,https://www.cian.ru/rent/flat/317621802/,"Москва, Таллинская , 30",55.80051,37.4086174,Строгино,503.880326760368
Марьино,Марьино,Мячковский бульвар,16К1,3,14,38.0,,,1,,,,55000,0,Елена Наумова,realtor,,https://www.cian.ru/rent/flat/317621666/,"Москва, Мячковский бульвар, 16К1",55.6511665,37.7578777,Марьино,939.3444185095522
Алтуфьевский,Бескудниково,Путевой проезд,26А,7,9,34.0,,,1,,,,38000,0,МАЯК,real_estate_agent,,https://www.cian.ru/rent/flat/317621659/,"Москва, Путевой проезд, 26А",55.8766887,37.574957,Яхромская,1884.1696365272928
Филевский парк,Фили,Большая Филевская ,3к1,8,16,42.0,,,1,,,,115000,0,ID 81409037,homeowner,,https://www.cian.ru/rent/flat/317621650/,"Москва, Большая Филевская , 3к1",55.7513553,37.5172619,Фили,612.9297839326589
Свиблово,Свиблово,Ивовая ,4,5,5,30.4,,,1,,,,60000,0,СВЕТЛЫЙ ГОРОД,real_estate_agent,,https://www.cian.ru/rent/flat/317621556/,"Москва, Ивовая , 4",55.8588328,37.6435532,Свиблово                                                                                ,701.2115817582519
Чертаново Южное,Улица Академика Янгеля,3-й Дорожный проезд,1,5,22,38.0,,,1,,,,50000,0,Ян Онуфриенко,realtor,,https://www.cian.ru/rent/flat/317621465/,"Москва, 3-й Дорожный проезд, 1",55.6028929,37.6104919,Улица Академика Янгеля,1093.8945847372497
Восточное Дегунино,Дегунино,Дубнинская ,24К5,5,9,34.0,,,1,,,,40000,0,ID 460133,realtor,,https://www.cian.ru/rent/flat/317621376/,"Москва, Дубнинская , 24К5",55.8734588,37.564255,Селигерская,1371.325330360525
,Кокошкино, Аэростатная,15к10,1,10,35.0,,,1,,,,50000,0,ID 25005357,realtor,,https://www.cian.ru/rent/flat/317621373/,"Москва,  Аэростатная, 15к10",55.5881182,37.1731781,Аэропорт Внуково,7513.392403912368
Печатники,Печатники, Гурьянова,2К1,8,17,50.0,,,1,,,,55000,0,Меридиан-НЕДВИЖИМОСТЬ,real_estate_agent,,https://www.cian.ru/rent/flat/317621324/,"Москва,  Гурьянова, 2К1",55.6931463,37.7224395,Печатники,288.1792969631076
Богородское,Бульвар Рокоссовского,Ивантеевская ,9А,3,5,25.0,,,1,,,,60000,0,Capital Mars,real_estate_agent,,https://www.cian.ru/rent/flat/317620709/,"Москва, Ивантеевская , 9А",55.8186628,37.7238241,Бульвар Рокоссовского,785.9664172914581
Тверской,Цветной бульвар,2-й Волконский переулок,1,2,9,34.0,,,1,,,,100000,0,Capital Mars,real_estate_agent,,https://www.cian.ru/rent/flat/317620708/,"Москва, 2-й Волконский переулок, 1",55.775756,37.6162096,Цветной бульвар,573.4969979891869
Алексеевский,ВДНХ, Бориса Галушкина,18,7,9,40.0,,,1,,,,55000,0,Марта Ознобишина,realtor,,https://www.cian.ru/rent/flat/317620702/,"Москва,  Бориса Галушкина, 18",55.8226623,37.6566647,ВДНХ                                              ,990.9720074928789
Митино,Пятницкое шоссе,Муравская ,46к3,12,25,40.0,,,1,,,,60000,0,Московская Недвижимость.,real_estate_agent,,https://www.cian.ru/rent/flat/317620608/,"Москва, Муравская , 46к3",55.8601713,37.377765,Пятницкое шоссе,1525.3066201731979
Царицыно,Царицыно,Бакинская ,8,11,16,36.0,,,1,,,,45000,0,ID 12930907,realtor,,https://www.cian.ru/rent/flat/317620423/,"Москва, Бакинская , 8",55.6255601,37.6564181,Царицыно,939.8794679889792
Метрогородок,Бульвар Рокоссовского,Тагильская ,2к1,6,25,37.6,,,1,,,,60000,0,Ольга Журбина,realtor,,https://www.cian.ru/rent/flat/317620322/,"Москва, Тагильская , 2к1",55.8180614,37.7482374,Бульвар Рокоссовского,956.2587228603828
Западное Дегунино,Ховрино, Маршала Федоренко,16/2к2,5,16,40.0,,,1,,,,60000,0,ID 67136716,unknown,,https://www.cian.ru/rent/flat/317620267/,"Москва,  Маршала Федоренко, 16/2к2",55.8835775,37.4876451,Ховрино,603.8652223735667
Митино,Митино,Митинская ,26,11,17,38.5,,,1,,,,46000,0,ID 425,realtor,,https://www.cian.ru/rent/flat/317620257/,"Москва, Митинская , 26",55.8432971,37.3699137,Митино,552.3291142712214
Дорогомилово,Парк Победы,площадь Победы,2К2,12,12,52.0,,,1,,,,130000,0,Capital Mars,real_estate_agent,,https://www.cian.ru/rent/flat/317620189/,"Москва, площадь Победы, 2К2",55.7375221,37.5184487,Парк Победы,148.02538300067346
Сокол,Сокол,Новопесчаная ,5,1,4,40.0,,,1,,,,110500,0,Capital Mars,real_estate_agent,,https://www.cian.ru/rent/flat/317620184/,"Москва, Новопесчаная , 5",55.8017344,37.5176227,Сокол,402.03271678809784
Беговой,Савёловская, Нижняя Масловка,5К2,2,5,40.0,,,1,,,,40000,0,ID 479190,realtor,,https://www.cian.ru/rent/flat/317619626/,"Москва,  Нижняя Масловка, 5К2",55.7912145,37.5826061,Савёловская,405.0185526721404
Выхино-Жулебино,Жулебино, Маршала Полубоярова,8,9,12,40.0,,,1,,,,55000,0,Московские ключи,real_estate_agent,,https://www.cian.ru/rent/flat/317619576/,"Москва,  Маршала Полубоярова, 8",55.6877781,37.8636113,Жулебино                                                                                ,525.1652344840594
